排名,BRAND,MODEL,總分,Price_分數,CL_分數,Performance_分數,Stability_分數,Capacity_分數,Speed_分數
108,芝奇 皇家戟RGB,64GB(雙通32GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
109,芝奇 皇家戟RGB,96GB(雙通48GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
110,芝奇 G5,128G(16G*8),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
111,芝奇 G5,128G(32G*4),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
112,芝奇 G5,64G(16G*4),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
113,芝奇 G5 NEO,64G(16G*4),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
114,芝奇 G5 NEO,128G(32G*4),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
115,芝奇 幻鋒戟RGB,48GB(雙通24G*2),-1826.624,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.06399999999999999,0.16,0.16
116,芝奇 焰鋒戟RGB,48GB(雙通24GB*2),-1826.624,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.06399999999999999,0.16,0.16
117,芝奇 皇家戟RGB,48GB(雙通24GB*2),-1826.624,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.06399999999999999,0.16,0.16
118,金士頓,32GB,-1826.624,-1828.8000000000002,1.6960000000000002,0.09599999999999995,0.06400000000000006,0.16,0.16
119,金士頓,64GB,-1826.624,-1828.8000000000002,1.6960000000000002,0.09599999999999995,0.06400000000000006,0.16,0.16
120,芝奇 幻鋒戟RGB,32GB(雙通16G*2),-1826.672,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.06399999999999999,0.16,0.16
121,芝奇 皇家戟RGB,32GB(雙通16GB*2),-1826.672,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.06399999999999999,0.16,0.16
122,金士頓,64GB(雙通32GB*2),-1827.4560000000001,-1828.8000000000002,0.8479999999999995,0.04799999999999997,0.12799999999999997,0.16,0.16
