排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Max_RPM_分數,Noise_Level_分數
38,NZXT,顯卡直立套件 白 內建PCI-E 4.0/220,小3Pin/防震墊片 買二送一(共三個),430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
39,NZXT,F240,雙環燈效/2000RPM/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
40,NZXT,F360,雙環燈效/PWM/二年保 買二送一(共三個),430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
41,貓頭鷹,Noctua NF-A12x25 G2 PWM Sx2-PP,雙環燈效/2000RPM/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
42,貓頭鷹,Noctua NF-A14x25 G2 PWM Sx2-PP,雙環燈效/PWM/二年保 買二送一(共三個),430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
43,華碩,ROG Herculx 白色版,雙環燈效/1800RPM/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
44,曜越,TtMod 高密度編織線/內含理線梳/延長線組合包/線規16,雙環燈效/1800RPM/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
45,聯力,EDGE 850W 白,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
46,聯力,EDGE 1000W 黑,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
47,聯力,EDGE 1000W 白,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
48,聯力,EDGE 1300W 黑,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
49,聯力,EDGE 1300W,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
50,利民,Thermalright SG-850(850W),卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
51,NZXT,C1000(1000W) ATX3.1 黑,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
52,NZXT,C1000(1000W) ATX3.1 白,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
53,NZXT,C1200(1200W) ATX3.1 黑,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
54,NZXT,C1200(1200W) ATX3.1 白,卡扣連接/厚30mm/三年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
55,貓頭鷹,Noctua NF-A14x25 G2 PWM,卡扣連接/厚30mm/三年保,417.1916667,416.85,0.016666667,0.016666667,0.016666667,0.166666667,0.125
56,華碩,ROG Herculx,卡扣連接/厚30mm/三年保,415.4833333,415.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
