排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Radiator_Size_分數,Thermal_Performance_分數,Noise_Level_分數,Fan_Performance_分數
38,DEEPCOOL,LT520 240水冷,90度直角式鰭片/3年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
39,DEEPCOOL,LT520 WH(白) 240水冷,90度直角式鰭片/3年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
40,DEEPCOOL,LT360 ARGB 水冷,90度直角式鰭片/3年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
41,DEEPCOOL,LT360 ARGB WH(白) 水冷,90度直角式鰭片/5年保【WXHYZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
42,DEEPCOOL,LP360 水冷散熱器,90度直角式鰭片/5年保【WXHYZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
43,DEEPCOOL,LQ240 水冷散熱器,數位監控螢幕/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
44,DEEPCOOL,LQ360 水冷散熱器,數位監控螢幕/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
45,DEEPCOOL,LM360 水冷散熱器,數位監控螢幕/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
46,DEEPCOOL,LM360 WH(白) 水冷散熱器,數位監控螢幕/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
47,酷碼,MasterLiquid 240L Core 水冷,3.95吋液晶/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
48,酷碼,MasterLiquid 240L Core ARGB 水冷,3.95吋液晶/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
49,酷碼,MasterLiquid 240L Core ARGB 白色版 水冷,3.95吋液晶/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
50,酷碼,MasterLiquid 360L Core ARGB 白色版 水冷,3.95吋液晶/一體式風扇/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
51,幾何未來,Eskimo 愛斯基摩 Pro 36 黑 360水冷,數位監控顯示/鏈扣串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
52,幾何未來,Eskimo 愛斯基摩 Pro 36 白 360水冷,數位監控顯示/鏈扣串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
53,幾何未來,Eskimo 愛斯基摩 Pro 42 黑 420水冷,數位監控顯示/鏈扣串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
54,幾何未來,Eskimo 愛斯基摩 Pro 42 白 420水冷,數位監控顯示/鏈扣串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
55,SAMA,L50 240 BK(黑) 水冷,2.1吋液晶/串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
56,SAMA,L50 240 WH(白) 水冷,2.1吋液晶/串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
57,SAMA,Q70 BK(黑) 360水冷,2.1吋液晶/串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
58,SAMA,Q70 WH(白) 360水冷,2.1吋液晶/串接風扇/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
59,Antec,Symphony 240 ARGB 水冷,2.1吋液晶/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
60,Antec,Vortex 240 ARGB 水冷,2.1吋液晶/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
61,旋剛,S80 RGB 白 240水冷,2.1吋液晶/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
62,全漢,AE24 黑 240水冷,2.1吋液晶/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
63,全漢,AE24 白 240水冷,無限鏡風扇網蓋冷頭/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
64,全漢,AE36 黑 360水冷,無限鏡風扇網蓋冷頭/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
65,全漢,AE36 白 360水冷,D-RGB 冷頭風扇/厚:5.7/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
66,Apexgaming,TITAN 泰坦360 水冷散熱器,D-RGB 冷頭風扇/厚:5.7/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
67,Apexgaming,NANCOOL PRO 魔立方360,無限鏡一體式風扇/高效雙腔水泵/厚:5.4/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
68,銀欣,XE360-4677 水冷散熱器,無限鏡一體式風扇/高效雙腔水泵/厚:5.4/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
69,銀欣,XE360-TR5 水冷散熱器,磁吸式數位顯示/厚:5.3cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
70,銀欣,VIDA 240 SLIM 水冷散熱器,磁吸式數位顯示/厚:5.3cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
71,銀欣,NovaPeak 240 ARGB 水冷散熱器,內置6cm VRM風扇/38mm加厚冷排/厚:6.5/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
72,銀欣,IceMyst 240 水冷散熱器,內置6cm VRM風扇/38mm加厚冷排/厚:6.5/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
73,銀欣,IceMyst 420 水冷散熱器,內置6cm VRM風扇/38mm加厚冷排/厚:6.5/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
74,利民,Frozen Warframe 420 BLACK ARGB,數位顯示/工作站級散熱/LGA4677/sTR5全覆蓋/5年【WXHYZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
75,利民,Frozen Warframe 420 WHITE ARGB,鋁殼冷頭+A.RGB風扇/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
76,聯力,HydroShift LCD 360N(黑) 裸排水冷,ARGB光環冷頭/五代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
77,聯力,HydroShift LCD 360N(白) 裸排水冷,ARGB光環冷頭/五代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
78,聯力,HydroShift II LCD-C 360N(黑) 裸排水冷,幾何鏡射磁吸外殼/四代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
79,聯力,HydroShift II LCD-C 360N(白) 裸排水冷,幾何鏡射磁吸外殼/四代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
80,聯力,HydroShift II LCD-C 360TL(黑),幾何鏡射外殼/五代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
