排名,BRAND,MODEL,總分,Price_分數,Capacity_分數,Read_Speed_分數,Write_Speed_分數,Warranty_分數,Interface_分數,NAND_Type_分數,DRAM_Cache_分數,Heat_Sink_分數,Performance_分數,Reliability_分數,Heat_Risk_分數
33,美光,Micron Crucial T500,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
34,金士頓,NV3,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
35,金士頓,KC3000,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
36,金士頓,FURY Renegade,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
37,宏碁,Acer Predator GM7,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
38,三星,Samsung 990 EVO Plus,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
39,三星,Samsung 990 PRO,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
40,十銓,T-Force GC,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
41,Seagate,FireCuda 530R,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
42,MSI,微星 M480PRO,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
43,美光,Micron Crucial P3 Plus,-249.05092329545468,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
44,美光,Micron Crucial P310,-249.05092329545468,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
45,宏碁,Acer FA200 ,-249.05092329545468,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
46,十銓,T-Force,-249.05092329545468,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
