排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Product_Type_分數,Compatibility_FormFactor_分數,Dual_Sided_Support_分數,Cooling_Performance_分數,Compatibility_分數
46,酷碼,Hyper 212 Black X DUO 散熱器,7導管(6mm)/雙塔雙扇(ARGB)/高15.7/全黑化【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
47,酷碼,Hyper 212 Halo White 散熱器,5導管(8mm)/雙塔12+14雙扇/高16cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
48,酷碼,Hyper 620S,5導管(8mm)/雙塔12+14雙扇/高16cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
49,Scythe,虎徹3(SCKTT-3000) 12cm風扇,5導管(8mm)/雙塔12+14雙扇/高16cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
50,Scythe,無限6(SCMG-6000) 12cm風扇,4導管(6mm)/高15cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
51,Scythe,無限6 闇黑版(SCMG-6000DBE) 單塔雙風扇,4導管(6mm)/雙風扇/高15cm/TDP:220W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
52,Scythe,手裏劍3(SCSK-3000),4導管(6mm)/高15cm/TDP:220W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
53,Scythe,大手裏劍4(SCBSK-4000),4導管(6mm)/高15cm/TDP:220W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
54,保銳,ETS-T41,5導管(6mm)/高15.5cm/TDP:240W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
55,保銳,ETS-T41D ARGB 散熱器,PINK LIMITED /4導管/高15.6cm/TDP:220W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
56,快睿,C5,6導管(6mm)/雙塔雙扇/高15.7cm/TDP:260W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
57,快睿,CR601,6導管(6mm)/雙塔雙扇/高15.7cm/TDP:260W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
58,快睿,MONSTER XX 散熱器/10,6導管(6mm)/雙塔雙扇/高16.1cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
59,SAMA,A60L,DIGITAL /6導管/雙塔雙扇/高16.1/溫度顯示/TDP:260W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
60,振華,ST4 ARGB 黑 散熱器,7導管/雙塔反葉扇/高16.4cm/不干涉/6年【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
61,振華,ST4 ARGB 白 散熱器,7導管/雙塔反葉扇/高16.4cm/不干涉/6年【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
62,微星,MAG COREFROZR AA13(黑) 散熱器,7導管/雙塔雙扇/均熱底座/高17.2/溫度顯示/不干涉/6年【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
63,全漢,NP5 ARGB 散熱器,7導管/雙塔雙扇/均熱底座/高16.4/不干涉/6年【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
